champ,valeur
questionnaire_version,"data/enquete/generateur_forms.gs (v3 : formulaire unique avec aiguillage etudiant/professionnel, 16 filieres, serie de bac, Droit/justice) — verifie conforme avant diffusion"
lien_formulaire_diffuse,"https://docs.google.com/forms/d/e/1FAIpQLSfMY7qjgUf7p_GfZ29u204XjPTaK4TVR-Q17yo4CJNV8VQ9-w/viewform"
lien_sheet_reponses,"https://docs.google.com/spreadsheets/d/1TEpF2fVeZjp3t0Ni179ZF-7LI_ss8CFuBYk1XglBQi8/edit"
reponses_post_gel,"7 reponses recues apres le gel du 26/08 21h49 (le Sheet en comptait 105 au 27/08 midi, contre 98 dans l'export gele) — EXCLUES du jeu livre conformement au protocole de gel fin jour 1 exige par le sujet ; fermeture du formulaire effectuee le 27/08"
populations_visees,"etudiants (ISPM et autres etablissements) ; professionnels en activite — aiguillage integre au formulaire"
mode_diffusion_etudiants,"groupes WhatsApp/Messenger des promotions ISPM et contacts directs des 7 membres"
mode_diffusion_professionnels,"contacts professionnels, anciens et famille des membres de l'equipe"
date_heure_lancement,"2026-08-26 (apres-midi) — formulaire unique v3 diffuse ; les 2 formulaires v2 fermes sans reponse"
date_heure_gel,"2026-08-26 vers 21h50 (export export_reponses.csv) — fermeture du formulaire a confirmer dans Google Forms"
reponses_recues_total,"98"
reponses_recues_etudiants,"78 (dont 7 hors ISPM sans filiere precisee)"
reponses_recues_professionnels,"20 (dont 12 filieres trop generiques pour rattachement)"
reponses_retenues,"79 (71 etudiants, 8 professionnels) — 15 filieres ISPM sur 16 representees (ICMP absente)"
reponses_ecartees,"19 — motifs detailles dans reponses_ecartees.csv : 7 'autre etablissement' sans filiere precisee, 12 filieres professionnelles trop generiques (ex. 'Informatique' seul, ambigu entre 4 parcours) — ecartees plutot que devinees"
texte_consentement,"voir generateur_forms.gs (TEXTE_CONSENTEMENT) — case a cocher obligatoire"
anonymisation,"aucun nom/email/telephone collecte (setCollectEmail(false)) ; identifiants remplaces par etu-XXXX / pro-XXXX au recodage"
traitements_posterieurs,"recodage vers le vocabulaire canonique du dataset par recoder_reponses.py (colonnes reperees par mots-cles, valeurs normalisees sans accents, filieres libres rattachees par mots-cles, non-rattachables ecartees avec motif)"
biais_echantillonnage_constates,"auto-selection par les reseaux de l'equipe : IGGLIA sur-representee (20/79, ~25%), series D majoritaires (43/79) ; ICMP non representee ; professionnels peu nombreux (8 retenus) ; details chiffres dans models/RAPPORT-TRANSFERT.md"
